date,category,ad,loc,floor,age,rooms,gross,price
08-10-2024,Daire,Buca Efeler Mh. 2+1 80m2 K.Mutfak Sıfır Yüksek Giriş Daire,İzmir / Buca / Efeler Mah.,Yüksek Giriş,Sıfır Bina,2 + 1,80 m²,25.000
10-10-2024,Daire,Er Yapı Emlak Ofisinden Hasanağa Bahçesi Yanı İibf'Ye 5 Dakika,İzmir / Buca / Atatürk Mah.,Bahçe Katı,5 Yaşında,2 + 0,70 m²,15.000
11-10-2024,Daire,Bucaparisa'Dan Kozağaç Meydan Yakını D.Gazlı Kiralık 3+1,İzmir / Buca / Kozağaç Mah.,1. Kat,11 Yaşında,3 + 1,125 m²,23.000
07-10-2024,Daire,Arga'Dan Buca Çevik Bir'De 3+1 D.Gazlı Kiralık Daire.,İzmir / Buca / Kozağaç Mah.,4. Kat,19 Yaşında,3 + 1,110 m²,22.000
11-10-2024,Daire,Doğuş Cad. Üzerinde Kampüs Karşısı Kiralık 1+1 Eşyalı Rezidans,İzmir / Buca / Kuruçeşme Mah.,Ara Kat,4 Yaşında,1 + 1,45 m²,16.000
09-10-2024,Daire,Saygın Gayrimenkul Den Atatürk Mahallesinde Çocuk Hastanesinin Yayında Geniş 3+1 Kiralık Daire,İzmir / Buca / Atatürk Mah.,Ara Kat,15 Yaşında,3 + 1,140 m²,17.000
08-10-2024,Daire,Vali Rahmi Bey Mahallesinde Geniş 2+1 Full Eşyalı Kiralık Daire,İzmir / Buca / Efeler Mah.,2. Kat,31 Yaşında,2 + 1,120 m²,25.000
08-10-2024,Daire,Güneş'Ten Şirinyer İzban 1dk 130m 3+1 2 Balkon Kapalı Çatı Güney Cephe,İzmir / Buca / İnkılap Mah.,4. Kat,30 Yaşında,3 + 1,130 m²,21.000
11-10-2024,Daire,1+1 Eşyalı Kiralık 9 Eylül Ve Kadın Doğuma Yürüme Mesafesinde,İzmir / Buca / Atatürk Mah.,Kot 2,15 Yaşında,1 + 1,55 m²,15.500
09-10-2024,Daire,Buca Çevik-1 Pazaryeri 231 Sokak'Ta Full Eşyalı Çift Cepheli Geniş 2+1(Ilanda Video Var)Esnafoğlunda,İzmir / Buca / Kozağaç Mah.,2. Kat,20 Yaşında,2 + 1,115 m²,18.000
10-10-2024,Daire,"Eşyalı ,2 Oda 1 Salon Sıfır Lüx ,Doğalgazlı Ve Klimalı",İzmir / Buca / Yaylacık Mah.,Ara Kat,Sıfır Bina,2 + 1,75 m²,24.000
11-10-2024,Daire,Buca Hasanağa Bahçesi Dibi Uçkuyular Meydan'Da 3+1 120m2 D.Gazlı Masrafsız Daire,İzmir / Buca / Atatürk Mah.,3. Kat,10 Yaşında,3 + 1,130 m²,19.000
