category,room,floor,gross,updated,price,location
Daire,1+1,Düz Giriş (Zemin),70 m²,9 Ekim,23.000 TL,İzmir - Bornova - Mevlana Mh.
Daire,1+1,Düz Giriş (Zemin),70 m²,9 Ekim,23.000 TL,İzmir - Bornova - Mevlana Mh.
Daire,3+1,3. Kat,155 m²,9 Ekim,15.000 TL,İzmir - Bornova - Gürpınar Mh.
Daire,Stüdyo,1. Kat,50 m²,9 Ekim,18.000 TL,İzmir - Bornova - Mevlana Mh.
Daire,2+1,1. Kat,70 m²,9 Ekim,21.000 TL,İzmir - Bornova - Mevlana Mh.
Daire,2+1,3. Kat,90 m²,9 Ekim,26.000 TL,İzmir - Bornova - Mevlana Mh.
Daire,Stüdyo,Düz Giriş (Zemin),45 m²,9 Ekim,18.000 TL,İzmir - Bornova - Mevlana Mh.
Daire,Stüdyo,1. Kat,55 m²,9 Ekim,18.000 TL,İzmir - Bornova - Mevlana Mh.
Daire,3+1,5. Kat,150 m²,9 Ekim,30.000 TL,İzmir - Bayraklı - Körfez Mh.
Daire,1+1,3. Kat,60 m²,9 Ekim,23.500 TL,İzmir - Bornova - Mevlana Mh.
Daire,2+1,3. Kat,85 m²,9 Ekim,22.000 TL,İzmir - Bornova - Mevlana Mh.
Daire,1+1,3. Kat,50 m²,9 Ekim,18.500 TL,İzmir - Bornova - Mevlana Mh.
Daire,1+1,Yüksek giriş,75 m²,9 Ekim,15.000 TL,İzmir - Dikili - İsmetpaşa Mh.
Daire,3+0,3. Kat,80 m²,9 Ekim,500 TL,İzmir - Buca - Adatepe Mh.
Villa,3+1,,210 m²,9 Ekim,45.000 TL,İzmir - Urla - İskele Mh.
Müstakil Ev,2+1,,106 m²,9 Ekim,20.000 TL,İzmir - Urla - Kuşçular Mh.
Daire,3+1,1. Kat,130 m²,9 Ekim,35.000 TL,İzmir - Balçova - Korutürk Mh.
Daire,3+1,4. Kat,142 m²,9 Ekim,38.000 TL,İzmir - Karşıyaka - Tuna Mh.
Daire,2+1,Düz Giriş (Zemin),100 m²,9 Ekim,12.000 TL,İzmir - Menemen - Yeşil Pınar Mh.
Daire,3+1,2. Kat,200 m²,9 Ekim,90.000 TL,İzmir - Konak - Çankaya Mh.
